pid,hh_id,gameing hours,date,Experience rate,Retention1,Retention2
401,86253,3,01/04/2025,good,0,
401,86253,2,03/04/2025,good,0,
401,86253,4,05/04/2025,good,0,
402,86253,2,06/04/2025,good,1,
402,86253,1,07/04/2025,bad,0,
403,86253,3,01/04/2025,bad,0,
403,86253,1,03/04/2025,bad,1,
403,86253,5,04/04/2025,bad,1,
403,86253,5,05/04/2025,good,1,
403,86253,3,06/04/2025,bad,0,
404,84743,2,01/04/2025,bad,0,
404,84743,2,03/04/2025,bad,1,
404,84743,1,04/04/2025,bad,1,
404,84743,5,05/04/2025,bad,0,
404,84743,5,07/04/2025,good,0,
405,84522,4,03/04/2025,good,1,
405,84522,5,04/04/2025,good,0,
406,86341,1,02/04/2025,bad,1,
406,86341,5,03/04/2025,bad,0,
407,80577,2,02/04/2025,bad,1,
407,80577,3,03/04/2025,good,1,
407,80577,3,04/04/2025,bad,1,
407,80577,3,05/04/2025,good,0,
407,80577,2,07/04/2025,bad,0,
408,80577,4,02/04/2025,bad,1,
408,80577,4,03/04/2025,bad,0,
409,80577,5,04/04/2025,bad,1,
409,80577,2,05/04/2025,good,1,
409,80577,1,06/04/2025,bad,1,
409,80577,3,07/04/2025,good,0,
410,80440,4,01/04/2025,good,1,
410,80440,1,02/04/2025,bad,1,
410,80440,5,03/04/2025,good,1,
410,80440,3,04/04/2025,good,0,
410,80440,2,07/04/2025,good,0,
411,80440,1,01/04/2025,good,0,
411,80440,5,05/04/2025,good,1,
411,80440,5,06/04/2025,good,0,
412,87488,3,01/04/2025,bad,0,
412,87488,4,06/04/2025,bad,1,
412,87488,1,07/04/2025,good,0,
413,85273,3,02/04/2025,bad,0,
413,85273,3,04/04/2025,good,1,
413,85273,5,05/04/2025,bad,0,
413,85273,1,07/04/2025,good,0,
414,85654,1,01/04/2025,good,0,
414,85654,2,03/04/2025,bad,1,
414,85654,2,04/04/2025,good,0,
414,85654,4,06/04/2025,good,1,
414,85654,4,07/04/2025,bad,0,
415,84000,5,03/04/2025,good,1,
415,84000,5,04/04/2025,good,0,
415,84000,5,06/04/2025,bad,1,
415,84000,3,07/04/2025,bad,0,
416,86034,3,05/04/2025,bad,1,
416,86034,4,06/04/2025,good,1,
416,86034,3,07/04/2025,good,0,
417,80583,2,04/04/2025,bad,0,
417,80583,3,06/04/2025,good,0,
418,80583,5,04/04/2025,bad,1,
418,80583,4,05/04/2025,good,0,
419,87052,1,02/04/2025,good,0,
419,87052,2,04/04/2025,good,1,
419,87052,4,05/04/2025,good,1,
